93,2020-03-25 17:10:40,start|5_0-6_0-8_0-2_0-7_0-1_0-0_0-3_0-4_0-9_0|-|c0,exp1_pp1a
93,2020-03-25 17:10:41,move|5_0-6_0-8_0-2_0-7_0-1_0-3_0-4_0-9_0|0_0|c0,exp1_pp1a
93,2020-03-25 17:10:54,move|5_0-6_0-8_0-7_0-1_0-3_0-4_0-9_0|0_0-2_1|c0,exp1_pp1a
93,2020-03-25 17:11:00,move|5_0-6_0-8_0-7_0-1_0-4_0-9_0|0_0-2_1-3_2|c0,exp1_pp1a
93,2020-03-25 17:11:01,move|5_0-6_0-8_0-7_0-1_0-4_0-9_0|0_0-2_1-3_1|c0,exp1_pp1a
93,2020-03-25 17:11:04,move|6_0-8_0-7_0-1_0-4_0-9_0|0_0-2_1-3_1-5_2|c0,exp1_pp1a
93,2020-03-25 17:11:08,move|6_0-8_0-1_0-4_0-9_0|0_0-2_1-3_1-5_2-7_3|c0,exp1_pp1a
93,2020-03-25 17:11:10,move|6_0-8_0-1_0-9_0|0_0-2_1-3_1-5_2-7_3-4_2|c0,exp1_pp1a
93,2020-03-25 17:11:12,move|6_0-8_0-1_0|0_0-2_1-3_1-5_2-7_3-4_2-9_3|c0,exp1_pp1a
93,2020-03-25 17:11:17,move|6_0-8_0-1_0-7_0|0_0-2_1-3_1-5_2-4_2-9_3|c0,exp1_pp1a
93,2020-03-25 17:11:20,move|8_0-1_0-7_0|0_0-2_1-3_1-5_2-6_3-4_2-9_3|c0,exp1_pp1a
93,2020-03-25 17:11:23,move|1_0-7_0|0_0-2_1-3_1-5_2-6_3-4_2-9_3-8_1|c0,exp1_pp1a
93,2020-03-25 17:11:24,incorrect|1_0-7_0|0_0-2_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:30,move|7_0|0_0-1_1-2_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:31,move|7_0-2_0|0_0-1_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:35,move|7_0|0_0-2_1-1_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:36,move|7_0-1_0|0_0-2_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:50,move|7_0-1_0-2_0|0_0-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:51,move|7_0-2_0|0_0-1_1-3_1-5_2-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:52,move|7_0-5_0-2_0|0_0-1_1-3_1-6_3-4_2-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:11:54,move|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-9_3-8_1|c1,exp1_pp1a
93,2020-03-25 17:12:00,move|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-8_1-9_1|c1,exp1_pp1a
93,2020-03-25 17:12:02,move|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c1,exp1_pp1a
93,2020-03-25 17:12:04,correct|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0-s,exp1_pp1a
83,2020-03-25 17:23:55,start|1_0-3_0-0_0-7_0-8_0-9_0-2_0-4_0-6_0|-|c0,exp1_pp1a
83,2020-03-25 17:23:56,move|1_0-3_0-7_0-8_0-9_0-2_0-4_0-6_0|0_0|c0,exp1_pp1a
15,2020-03-25 18:25:15,start|6_0-3_0-8_0-0_0-2_0-9_0-1_0-5_0-7_0-4_0|-|c0,exp1_pp1a
15,2020-03-25 18:25:15,move|6_0-3_0-8_0-2_0-9_0-1_0-5_0-7_0-4_0|0_0|c0,exp1_pp1a
15,2020-03-25 18:27:52,move|6_0-8_0-2_0-9_0-1_0-5_0-7_0-4_0|0_0-3_1|c0,exp1_pp1a
15,2020-03-25 18:28:02,move|6_0-8_0-2_0-9_0-1_0-5_0-7_0|0_0-3_1-4_2|c0,exp1_pp1a
15,2020-03-25 18:28:04,move|6_0-8_0-2_0-9_0-1_0-7_0|0_0-3_1-4_2-5_2|c0,exp1_pp1a
15,2020-03-25 18:30:24,move|6_0-8_0-2_0-9_0-1_0-7_0-4_0|0_0-3_1-5_2|c0,exp1_pp1a
15,2020-03-25 18:30:26,move|6_0-8_0-2_0-9_0-1_0-4_0|0_0-3_1-5_2-7_3|c0,exp1_pp1a
15,2020-03-25 18:30:37,move|6_0-8_0-9_0-1_0-4_0|0_0-3_1-2_2-5_2-7_3|c0,exp1_pp1a
15,2020-03-25 18:30:41,move|6_0-8_0-9_0-1_0-4_0|0_0-2_1-3_1-5_2-7_3|c0,exp1_pp1a
15,2020-03-25 18:30:53,move|6_0-9_0-1_0-4_0|0_0-2_1-3_1-8_2-5_2-7_3|c0,exp1_pp1a
15,2020-03-25 18:30:59,move|6_0-9_0-8_0-1_0-4_0|0_0-2_1-3_1-5_2-7_3|c0,exp1_pp1a
14,2020-03-25 18:58:45,start|9_0-4_0-0_0-3_0-8_0-6_0-1_0|-|c0,exp1_pp1a
14,2020-03-25 18:58:46,move|9_0-4_0-3_0-8_0-6_0-1_0|0_0|c0,exp1_pp1a
14,2020-03-25 19:13:37,move|9_0-3_0-8_0-6_0-1_0|0_0-4_1|c0,exp1_pp1a
14,2020-03-25 19:13:59,move|9_0-8_0-6_0-1_0|0_0-3_0-4_1|c0,exp1_pp1a
14,2020-03-25 19:14:01,move|9_0-6_0-1_0|0_0-3_0-8_1-4_1|c0,exp1_pp1a
14,2020-03-25 19:14:04,move|9_0-6_0|0_0-3_0-1_0-8_1-4_1|c0,exp1_pp1a
14,2020-03-25 19:14:06,move|9_0-6_0|0_0-3_0-1_1-8_1-4_1|c0,exp1_pp1a
14,2020-03-25 19:14:32,move|9_0|0_0-3_0-1_1-8_1-4_1-6_3|c0,exp1_pp1a
14,2020-03-25 19:14:33,move|9_0|0_0-3_0-1_1-8_1-4_1-6_2|c0,exp1_pp1a
14,2020-03-25 19:14:35,move|-|0_0-3_0-1_1-8_1-9_1-4_1-6_2|c0,exp1_pp1a
14,2020-03-25 19:14:37,move|-|0_0-3_0-1_1-9_1-4_1-8_2-6_2|c0,exp1_pp1a
14,2020-03-25 19:14:38,incorrect|-|0_0-3_0-1_1-9_1-4_1-8_2-6_2|c1,exp1_pp1a
14,2020-03-25 19:14:40,move|-|0_0-1_1-3_0-9_1-4_1-8_2-6_2|c1,exp1_pp1a
14,2020-03-25 19:14:41,incorrect|-|0_0-1_1-3_0-9_1-4_1-8_2-6_2|c2,exp1_pp1a
14,2020-03-25 19:14:47,move|-|0_0-1_1-3_0-8_2-9_1-4_1-6_2|c2,exp1_pp1a
14,2020-03-25 19:14:48,move|-|0_0-1_1-3_0-8_1-9_1-4_1-6_2|c2,exp1_pp1a
14,2020-03-25 19:14:49,incorrect|-|0_0-1_1-3_0-8_1-9_1-4_1-6_2|c3,exp1_pp1a
14,2020-03-25 19:14:54,move|-|0_0-1_1-3_0-8_1-9_1-6_1-4_1|c3,exp1_pp1a
14,2020-03-25 19:14:55,incorrect|-|0_0-1_1-3_0-8_1-9_1-6_1-4_1|c4,exp1_pp1a
14,2020-03-25 19:14:57,move|-|0_0-1_1-3_0-8_1-9_1-4_1-6_2|c4,exp1_pp1a
14,2020-03-25 19:14:59,move|-|0_0-1_1-3_0-8_1-9_1-4_0-6_2|c4,exp1_pp1a
14,2020-03-25 19:15:00,move|-|0_0-1_1-3_0-8_1-9_1-4_0-6_1|c4,exp1_pp1a
14,2020-03-25 19:15:01,incorrect|-|0_0-1_1-3_0-8_1-9_1-4_0-6_1|c5,exp1_pp1a
14,2020-03-25 19:15:03,removedIndentation|-|0_0-1_1-3_0-8_1-9_1-4_0-6_1|i-c5,exp1_pp1a
14,2020-03-25 19:15:11,move|-|0_0-1_0-3_0-8_0-6_0-9_0-4_0|i-c5,exp1_pp1a
14,2020-03-25 19:15:12,move|-|0_0-1_0-3_0-8_0-6_0-4_0-9_0|i-c5,exp1_pp1a
14,2020-03-25 19:15:13,incorrect|-|0_0-1_0-3_0-8_0-6_0-4_0-9_0|i-c6,exp1_pp1a
14,2020-03-25 19:15:16,move|-|0_0-1_0-3_0-8_0-4_0-6_0-9_0|i-c6,exp1_pp1a
14,2020-03-25 19:15:18,incorrect|-|0_0-1_0-3_0-8_0-4_0-6_0-9_0|i-c7,exp1_pp1a
14,2020-03-25 19:15:20,combinedBlocks|-|0_0-1_0-3_0-8_0-4_0-6_0-9_0|i-c7,exp1_pp1a
14,2020-03-25 19:16:37,incorrect|-|0_0-1_3_0-8_0-4_0-6_0-9_0|i-c8,exp1_pp1a
14,2020-03-25 19:16:40,move|-|0_0-1_3_0-8_0-6_0-4_0-9_0|i-c8,exp1_pp1a
14,2020-03-25 19:16:41,incorrect|-|0_0-1_3_0-8_0-6_0-4_0-9_0|i-c9,exp1_pp1a
14,2020-03-25 19:16:46,combinedBlocks|-|0_0-1_3_0-8_0-1006_0-4_0-9_0|i-c9,exp1_pp1a
14,2020-03-25 19:16:47,incorrect|-|0_0-1_3_0-8_0-4_6_0-9_0|i-c10,exp1_pp1a
14,2020-03-25 19:16:49,move|-|0_0-1_3_0-8_0-9_0-4_6_0|i-c10,exp1_pp1a
14,2020-03-25 19:16:50,incorrect|-|0_0-1_3_0-8_0-9_0-4_6_0|i-c11,exp1_pp1a
14,2020-03-25 19:16:52,combinedBlocks|-|0_0-1_3_0-1008_0-9_0-4_6_0|i-c11,exp1_pp1a
14,2020-03-25 19:16:55,move|-|0_0-4_6_8_0-1_3_0-9_0|i-c11,exp1_pp1a
14,2020-03-25 19:16:57,move|-|0_0-1_3_0-4_6_8_0-9_0|i-c11,exp1_pp1a
14,2020-03-25 19:16:58,correct|-|0_0-1_3_0-4_6_8_0-9_0|i-c0-s,exp1_pp1a
13,2020-03-25 19:32:59,start|4_0-8_0-1_0-6_0-0_0-2_0-7_0-9_0-3_0-5_0|-|c0,exp1_pp1a
13,2020-03-25 19:33:00,move|4_0-8_0-1_0-6_0-2_0-7_0-9_0-3_0-5_0|0_0|c0,exp1_pp1a
13,2020-03-25 19:33:02,move|4_0-8_0-1_0-6_0-2_0-7_0-9_0-3_0-5_0|0_0|c0,exp1_pp1a
13,2020-03-25 19:33:04,move|4_0-8_0-1_0-6_0-2_0-7_0-9_0-3_0-5_0|0_0|c0,exp1_pp1a
13,2020-03-25 19:33:05,move|4_0-8_0-1_0-6_0-2_0-7_0-9_0-3_0-5_0|0_1|c0,exp1_pp1a
13,2020-03-25 19:33:07,move|4_0-8_0-1_0-6_0-2_0-7_0-9_0-3_0-5_0|0_0|c0,exp1_pp1a
