Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
json_req1,Parsons,220.34108527131784,182.26596706993325,130,129,0.9923076923076923
json_pp1,Parsons,711.6929824561404,6912.912853938273,114,114,1.0
json_pp2,Parsons,239.2280701754386,229.41815727293317,114,114,1.0
dbsel1,Parsons,300.91472868217056,1546.5632465193585,129,129,1.0
db2exv2,Parsons,172.39370078740157,164.89155442869034,127,127,1.0
exp1_pp1a,Parsons,1294.919191919192,8986.582915858924,101,99,0.9801980198019802
exp1_pp3,Parsons,23.760416666666668,33.170292603525645,96,96,1.0
exp1_q5_pp,Parsons,115.13483146067416,365.65188334768624,91,89,0.978021978021978
Count_Target_In_Range_Order,Parsons,257.9375,1285.3380222678165,81,80,0.9876543209876543
Total_Dict_Values_PP,Parsons,31.160493827160494,22.766453824719523,81,81,1.0
plot_pp1,Parsons,12.290322580645162,6.6672042793982085,124,124,1.0
3_6_1_Ketchup_Speed,Parsons,28.0,0.0,1,1,1.0
3_7_4_Per_Person_Cost,Parsons,21.0,0.0,1,1,1.0
6_4_4_Draw_Squares,Parsons,23.0,0.0,1,1,1.0
