Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
ch17ex1muc,Parsons,35.5,14.849242404917497,2,2,1.0
ch17ex2muc,Parsons,74.5,31.81980515339464,2,2,1.0
ch17ex3muc,Parsons,50.0,8.48528137423857,2,2,1.0
ch17ex4muc,Parsons,21.0,5.656854249492381,2,2,1.0
ch17ex5muc,Parsons,59.0,56.568542494923804,2,2,1.0
ch17ex6muc,Parsons,66.5,14.849242404917497,2,2,1.0
ch17ex7muc,Parsons,31.5,7.7781745930520225,2,2,1.0
ch16ex1muc,Parsons,28.0,14.142135623730951,2,2,1.0
ch16ex2muc,Parsons,24.0,7.0710678118654755,2,2,1.0
ch16ex3muc,Parsons,32.0,9.899494936611665,2,2,1.0
ch16ex4muc,Parsons,44.5,0.7071067811865476,2,2,1.0
ch16ex5muc,Parsons,65.5,17.67766952966369,2,2,1.0
ch16ex6muc,Parsons,76.0,12.727922061357855,2,2,1.0
ch16ex7muc,Parsons,56.5,13.435028842544403,2,2,1.0
18_3_1_printInfoForCity,Parsons,43.0,0.0,1,1,1.0
midtermRegexCountSumsv2,Parsons,163.14285714285714,83.6777859498676,134,133,0.9925373134328358
htmlp1-v2,Parsons,95.44444444444444,51.907233492923595,126,126,1.0
htmlp2,Parsons,96.35714285714286,56.519655241087825,126,126,1.0
htmlp3,Parsons,72.65873015873017,47.701935004511135,126,126,1.0
htmlp4,Parsons,74.23255813953489,57.09483771923734,129,129,1.0
htmlp5,Parsons,88.5952380952381,47.31835645014371,126,126,1.0
midtermFiindMonth,Parsons,154.3861386138614,84.76213426961706,102,101,0.9901960784313726
midtermRegexCountSums,Parsons,140.11,66.61920962386966,100,100,1.0
p-regex_get_hosts,Parsons,131.05882352941177,61.49826102820552,103,102,0.9902912621359223
midtermGetLines,Parsons,55.90196078431372,45.85459364658569,102,102,1.0
xml1,Parsons,29.795454545454547,23.905264243894845,132,132,1.0
xml_1,Parsons,73.70676691729324,44.898502025846675,133,133,1.0
xml_2,Parsons,69.58646616541354,48.75062203481144,133,133,1.0
json_read_file1,Parsons,131.8181818181818,65.99720306146433,132,132,1.0
json_list1,Parsons,79.31297709923665,48.714250634848696,131,131,1.0
json_req1,Parsons,143.8139534883721,66.3995678922617,130,129,0.9923076923076923
json_pp1,Parsons,63.58771929824562,50.28182722151879,114,114,1.0
json_pp2,Parsons,129.47368421052633,75.94329632760838,114,114,1.0
dbsel1,Parsons,89.64341085271317,56.08528640182908,129,129,1.0
db2exv2,Parsons,127.81102362204724,62.14700088326991,127,127,1.0
exp1_pp1a,Parsons,118.97979797979798,60.719660232368575,101,99,0.9801980198019802
exp1_pp3,Parsons,23.760416666666668,33.170292603525645,96,96,1.0
exp1_q5_pp,Parsons,71.2,45.4520861438885,93,90,0.967741935483871
Count_Target_In_Range_Order,Parsons,99.7125,60.020712405981314,83,80,0.963855421686747
Total_Dict_Values_PP,Parsons,33.30487804878049,28.08658966697001,84,82,0.9761904761904762
plot_pp1,Parsons,12.290322580645162,6.6672042793982085,124,124,1.0
3_6_1_Ketchup_Speed,Parsons,28.0,0.0,1,1,1.0
3_7_4_Per_Person_Cost,Parsons,21.0,0.0,1,1,1.0
6_4_4_Draw_Squares,Parsons,23.0,0.0,1,1,1.0
